cpu_usage,used_memory
0.012267,275972096
0.016353,275972096
0.020475,276099072
0.016341,275484672
0.024561,275484672
0.028638,276373504
0.028652,276234240
0.028602,275582976
0.02447,275582976
0.032654,275582976
0.032616,276361216
0.028631,276361216
0.024539,276488192
0.020469,276615168
0.020451,275914752
0.020416,276041728
0.016308,276422656
0.016284,276549632
0.024417,277118976
0.024347,276668416
0.024412,276668416
0.024514,275173376
0.040922,276692992
0.036929,276692992
0.028706,276692992
0.028802,276819968
0.028794,276946944
0.024639,276279296
0.00822,276787200
0.012329,276787200
0.020554,275197952
0.024611,276082688
0.024529,276336640
0.028689,276336640
0.028646,277225472
0.02452,277225472
0.02032,277225472
0.012223,277225472
0.012237,277225472
0.012238,277225472
0.012225,277225472
0.012223,277225472
0.012302,277352448
0.012302,277352448
0.012303,277352448
0.008191,277352448
0.004091,277352448
0.008201,277352448
0.008192,277352448
0.004094,277352448
0.008161,277479424
0.012233,277606400
0.012213,277606400
0.012211,277606400
0.012212,277606400
0.020363,277811200
0.01638,278192128
0.020485,278192128
0.016421,277938176
0.02054,277938176
0.020499,277938176
0.012309,277938176
0.012296,277938176
0.008199,277938176
0.008206,278192128
0.008212,278319104
0.004121,277635072
0.008215,277635072
0.008201,277635072
0.0205,275767296
0.020443,277291008
0.020431,277291008
0.024467,277291008
0.020417,277291008
0.024494,277291008
0.012258,277291008
0.016391,277291008
0.016381,277291008
0.016398,277291008
0.016343,277417984
0.012278,277417984
0.016417,277417984
0.01639,275972096
0.012303,276860928
0.012308,276860928
0.012317,276860928
0.012298,276860928
0.012302,276860928
0.008207,277241856
0.0123,277368832
0.012297,277368832
0.012284,276705280
0.012304,276705280
0.012273,276705280
0.016367,276832256
0.012285,276832256
0.012305,277213184
0.012329,277213184
0.012287,277213184
0.012277,277213184
0.012272,277467136
0.012281,277467136
0.016373,277467136
0.020446,276000768
0.024577,276381696
0.020591,277270528
0.02057,277524480
0.02465,277524480
0.024614,277651456
0.016442,277651456
0.016455,277041152
0.016446,277168128
0.01647,277291008
0.01233,277291008
0.008227,277417984
0.012347,277417984
0.01235,277417984
0.012322,277544960
0.012297,277544960
0.012297,277544960
0.012285,277671936
0.008182,277798912
0.008164,277176320
0.008162,277176320
0.008165,277553152
0.012262,277680128
0.012267,277807104
0.016374,277807104
0.020505,277151744
0.016395,277835776
0.016434,277217280
0.016465,277344256
0.016439,277344256
0.012302,277344256
0.016406,275755008
0.020533,276643840
0.0205,276766720
0.016392,276766720
0.016412,276766720
0.020556,276766720
0.012322,277655552
0.012311,277655552
0.012345,278163456
0.012331,278163456
0.012319,278544384
0.012304,278544384
0.0123,278544384
0.012304,278544384
0.0082,278671360
0.012293,277905408
0.012287,277094400
0.012282,277475328
0.012275,277602304
0.012255,277729280
0.012246,277442560
0.008187,277569536
0.0041,277696512
0.008203,276885504
0.008193,276885504
0.004091,276885504
0.008183,277139456
0.008172,277139456
0.012247,277139456
0.00818,277139456
0.008195,277139456
0.01231,281137152
0.01232,278986752
0.01232,278818816
0.012296,277819392
0.012286,277946368
0.016372,278073344
0.016373,278200320
0.012299,278200320
0.012303,278200320
0.012316,278200320
0.012297,278200320
0.01229,278327296
0.012248,278327296
0.012226,277700608
0.012189,277827584
0.012219,277827584
0.012212,277827584
0.012226,277827584
0.01226,277827584
0.008189,278208512
0.012321,278208512
0.008204,278208512
0.008183,278208512
0.008174,278208512
0.008188,278208512
0.01229,278208512
0.008197,278208512
0.008183,277913600
0.012331,278040576
0.008231,278040576
0.008228,278040576
0.004109,278167552
0.008216,278294528
0.012358,278294528
0.012356,278294528
0.012324,277495808
0.016434,277622784
0.016441,277622784
0.016409,277622784
0.016405,276840448
0.012289,276840448
0.016395,276967424
0.012307,276967424
0.01231,277344256
0.0082,277344256
0.012296,277217280
0.008197,276398080
0.0082,276398080
0.008164,276398080
0.00817,276652032
0.012255,276652032
0.00818,277032960
0.012245,277032960
0.012276,277032960
0.012282,277159936
0.012288,277286912
0.008183,277286912
0.012261,277286912
0.008191,277286912
0.008181,277286912
0.008199,277286912
0.008189,277413888
0.012298,277413888
0.008192,277413888
0.012259,277540864
0.016335,276942848
0.012234,276942848
0.012244,277319680
0.008137,277319680
0.016269,276168704
0.016307,276295680
0.012224,276295680
0.016248,276295680
0.020268,277184512
0.020327,277184512
0.016265,277184512
0.012167,277184512
0.012181,277184512
0.008128,278073344
0.008142,278200320
0.008143,278200320
0.008139,278200320
0.008161,278200320
0.008164,278200320
0.008178,278200320
0.008183,278708224
0.008179,278708224
0.012282,278708224
0.012265,278708224
0.01227,277876736
0.012254,278003712
0.00817,278130688
0.008181,278130688
0.008156,278130688
0.004082,278130688
0.012265,277839872
0.016383,278528000
0.020511,278781952
0.020536,278908928
0.016455,279924736
0.020547,279924736
0.012343,279142400
0.01644,275095552
0.016433,276365312
0.024662,278269952
0.037016,276471808
0.045247,278867968
0.045266,278814720
0.037026,278814720
0.036982,278732800
0.032845,278732800
0.020522,278605824
0.008188,278732800
0.008194,277909504
0.012296,277909504
0.008199,278413312
0.008198,278413312
0.00819,278413312
0.012286,278413312
0.012267,278413312
0.008176,278413312
0.012244,278536192
0.008142,278536192
0.00813,278536192
0.004064,278663168
0.008134,278663168
0.008136,278790144
0.004067,278790144
0.008145,278036480
0.008138,278036480
0.012232,278163456
0.008158,278163456
0.008154,278163456
0.012267,278032384
0.008188,278032384
0.012309,278159360
0.012327,278286336
0.01232,278380544
0.016419,277716992
0.016389,277843968
0.016394,277970944
0.020413,277655552
0.024482,277078016
0.024508,277078016
0.020449,277204992
0.024514,277708800
0.020435,277708800
0.012302,278597632
0.012306,278597632
0.012316,278597632
0.012307,278597632
0.008194,278724608
0.008203,278851584
0.008208,278978560
0.00821,278978560
0.008205,278978560
0.004106,278978560
0.008178,279359488
0.012281,278712320
0.016343,277786624
0.012259,278478848
0.012258,278605824
0.016311,278306816
0.012259,278306816
0.008171,278306816
0.008181,278306816
0.012264,278306816
0.016314,279195648
0.016269,277581824
0.020384,277581824
0.020448,277708800
0.020427,277708800
0.020443,277708800
0.01632,277835776
0.016392,277835776
0.012292,277852160
0.012268,277979136
0.012287,278360064
0.008179,278360064
0.012272,278360064
0.008178,278360064
0.012289,278614016
0.012312,278614016
0.012265,277921792
0.008177,278048768
0.008182,278429696
0.008192,278556672
0.004091,277590016
0.008152,277716992
0.008182,277843968
0.012235,277843968
0.008179,278093824
0.012247,278093824
0.012208,278093824
0.008155,278093824
0.01224,278220800
0.008184,278347776
0.008143,278474752
0.004071,277639168
0.008155,278269952
0.012256,278519808
0.008124,278646784
0.012188,278646784
0.012215,278773760
0.016281,278773760
0.020372,276066304
0.016285,276193280
0.016325,276574208
0.01225,276574208
0.01637,276701184
0.012289,276828160
0.008173,277204992
0.008168,277331968
0.012254,277458944
0.012255,276762624
0.016353,276447232
0.012261,276447232
0.012292,277590016
0.01229,277590016
0.008178,277590016
0.012275,277590016
0.00819,276758528
0.008181,276758528
0.008179,278024192
0.008179,278151168
0.008199,278151168
0.008208,278278144
0.00821,278278144
0.008199,278278144
0.004106,278532096
0.004104,278532096
